,Units,Location,Direction,Theta_0,Theta_1,Family,Blocks,Inactive,Description
B.10.31.011a,ea,1,"1,2",12,,,,,"Steel Column Base Plates, Column W < 150 plf"
B.10.31.021a,ea,3,"1,2",12,,,,,"Welded column splices, Column W < 150 plf"
B.10.33.111a,ea,1,"1,2",8,,,,,"Steel Buckling Restrained Brace (BRB), Single Diagonal Brace, Weight of brace < 40 plf."
B.10.33.111a,ea,2,"1,2",8,,,,,"Steel Buckling Restrained Brace (BRB), Single Diagonal Brace, Weight of brace < 40 plf."
B.10.33.111a,ea,3,"1,2",8,,,,,"Steel Buckling Restrained Brace (BRB), Single Diagonal Brace, Weight of brace < 40 plf."
